# results of script local_minima
size_of_hidden_layer,training_error,test_error,number_of_epochs,training_time
10,0.048200011253356934,0.1904768943786621,86,38.13735365867615
20,0.05779999494552612,0.1731230616569519,62,28.281586408615112
30,0.019800007343292236,0.16600000858306885,78,35.723554849624634
40,0.017799973487854004,0.16039997339248657,84,39.137176275253296
5,0.09539997577667236,0.19996923208236694,71,31.29434871673584
10,0.06999999284744263,0.18616920709609985,61,27.30377984046936
20,0.053799986839294434,0.1739845871925354,67,29.176209211349487
30,0.015200018882751465,0.1675538420677185,93,39.77526617050171
40,0.030399978160858154,0.16427689790725708,55,26.104592323303223
5,0.18800002336502075,0.24053847789764404,35,16.188344955444336
10,0.08319997787475586,0.1775076985359192,49,22.21592354774475
20,0.027000010013580322,0.1709384322166443,88,39.50022912025452
30,0.03380000591278076,0.16738462448120117,66,30.67749333381653
40,0.007600009441375732,0.15820002555847168,94,43.09953832626343
5,0.1281999945640564,0.22709232568740845,107,44.01277041435242
10,0.07400000095367432,0.18453848361968994,66,27.779236555099487
20,0.027599990367889404,0.1764923334121704,84,38.168447494506836
30,0.05059999227523804,0.1824461817741394,77,35.233482837677
40,0.02920001745223999,0.1596153974533081,73,34.16521501541138
5,0.10439997911453247,0.21770769357681274,89,2421.380532026291
10,0.07840001583099365,0.18472307920455933,56,25.0038640499115
20,0.028800010681152344,0.1679384708404541,78,36.25848960876465
30,0.007200002670288086,0.16360002756118774,108,58.44438099861145
40,0.022599995136260986,0.16790771484375,86,55.14782381057739
5,0.10199999809265137,0.19712305068969727,62,37.870368242263794
10,0.09060001373291016,0.18660002946853638,46,29.146482944488525
20,0.04280000925064087,0.17321538925170898,79,49.18191862106323
30,0.023599982261657715,0.1675230860710144,75,49.941049098968506
40,0.023599982261657715,0.1593846082687378,92,60.26729917526245
5,0.11000001430511475,0.21613848209381104,83,52.984405279159546
10,0.05460000038146973,0.18110769987106323,74,46.2508761882782
20,0.06779998540878296,0.17721539735794067,57,36.66577625274658
30,0.03839999437332153,0.1728615164756775,71,47.701242208480835
40,0.02039998769760132,0.16167694330215454,81,51.962865591049194
5,0.11659997701644897,0.2128307819366455,81,48.64527678489685
10,0.07300001382827759,0.19690769910812378,85,51.908005237579346
20,0.05440002679824829,0.18938463926315308,82,51.36497974395752
30,0.014599978923797607,0.16307693719863892,89,56.07407879829407
40,0.017000019550323486,0.16315382719039917,103,65.90147805213928
5,0.11799997091293335,0.22416925430297852,70,42.84338712692261
10,0.045400023460388184,0.1739230751991272,76,46.666563510894775
20,0.0252000093460083,0.16538459062576294,80,51.32714891433716
30,0.04280000925064087,0.17213845252990723,59,39.320597648620605
40,0.00700002908706665,0.16093844175338745,97,61.702555656433105
5,0.10839998722076416,0.21053844690322876,84,51.09099888801575
10,0.06980001926422119,0.19049233198165894,73,56.3617262840271
